SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2021,Fordham,A10,14,2,87.5,99.8,0.1818,41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,42.2,52.8,26.9,33.4,63.5,-8.2,,
2021,Denver,Sum,20,2,93.9,112.9,0.1075,49.8,55.8,20.9,19.0,22.0,26.1,34.1,43.0,48.6,53.8,34.8,39.3,70.9,-16.8,,
2021,Iowa St.,B12,24,2,100.4,100.8,0.4892,48.0,51.9,21.1,18.5,24.3,33.1,19.6,36.2,48.0,53.1,32.1,33.0,69.8,-10.4,,
2021,Mississippi Valley St.,SWAC,24,2,80.0,120.8,0.0087,43.6,55.0,24.2,14.9,18.1,35.8,24.7,32.6,38.3,55.7,32.9,35.8,72.3,-17.5,,
2021,San Diego,WCC,14,3,97.7,99.6,0.4442,46.4,53.3,18.1,18.2,20.9,25.6,25.6,33.8,46.8,51.2,30.4,38.5,70.2,-6.2,,
2021,Northern Illinois,MAC,19,3,94.7,110.5,0.1442,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52.0,32.4,39.0,65.8,-11.7,,
2021,Delaware St.,MEAC,17,3,91.1,115.5,0.0614,45.7,54.7,22.3,18.7,26.3,32.3,29.8,45.5,45.0,55.6,31.1,35.5,73.4,-13.7,,
2021,Charleston Southern,BSth,20,3,92.1,107.5,0.1441,46.5,50.7,23.6,17.6,27.4,31.3,30.1,34.4,46.4,50.3,31.1,34.3,69.8,-15.5,,
2021,American,Pat,10,4,97.9,105.3,0.3021,52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,49.5,52.9,37.8,29.1,67.0,-4.5,,
2021,Lehigh,Pat,15,4,92.8,106.5,0.1696,47.1,53.2,18.2,16.9,24.9,23.8,27.9,32.8,47.0,52.3,31.6,36.6,69.7,-9.5,,
2021,Binghamton,AE,18,4,97.1,110.5,0.1848,48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,48.3,49.5,33.1,36.7,66.3,-12.2,,
2021,Towson,CAA,18,4,99.1,111.3,0.207,45.4,52.6,18.4,16.0,34.1,30.4,33.4,29.3,46.2,49.3,28.9,38.3,65.9,-10.8,,
2021,Alabama St.,SWAC,18,4,86.1,111.8,0.047,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49.0,31.7,32.5,70.1,-13.2,,
2021,Robert Morris,Horz,18,4,98.1,110.7,0.1992,50.5,54.6,19.0,18.7,29.5,33.5,26.1,34.6,48.3,52.4,36.5,38.9,67.0,-12.3,,
2021,Boston College,ACC,20,4,103.3,102.3,0.5269,49.8,55.5,19.0,18.7,25.4,28.8,29.7,29.1,49.9,56.7,33.1,35.5,71.4,-7.6,,
2021,Tennessee St.,OVC,22,4,91.2,105.7,0.1551,47.0,50.9,20.9,22.1,24.8,30.6,32.7,44.5,49.1,50.9,28.8,34.0,71.0,-16.3,,
2021,Cal Poly,BW,23,4,90.3,105.1,0.1495,44.5,50.6,20.3,18.2,22.0,29.9,29.5,36.5,42.9,49.1,31.5,35.7,66.9,-15.8,,
2021,Arkansas Pine Bluff,SWAC,25,4,90.4,114.7,0.0603,43.2,54.1,22.5,18.4,27.2,32.2,38.6,38.3,41.9,51.2,30.8,40.0,67.9,-16.0,,
2021,Bucknell,Pat,12,5,99.9,108.2,0.2849,52.0,49.6,17.3,15.7,19.8,28.3,36.3,29.2,53.6,47.5,33.0,36.0,71.8,-5.6,,
2021,North Carolina Central,MEAC,13,5,91.8,112.2,0.0901,46.9,51.0,21.4,20.8,26.4,33.6,34.5,38.3,45.3,50.9,33.1,34.2,66.0,-6.9,,
2021,Temple,Amer,16,5,101.9,98.3,0.6029,46.7,47.3,19.5,16.0,25.9,28.1,38.9,31.7,43.8,44.8,34.2,34.3,68.3,-6.1,,
2021,Holy Cross,Pat,16,5,99.4,107.9,0.2803,50.3,52.6,18.3,18.5,26.4,31.5,26.1,35.2,48.8,52.1,35.6,35.7,69.0,-8.4,,
2021,George Washington,A10,17,5,101.0,105.5,0.3755,49.7,51.1,19.7,16.7,24.4,28.6,36.1,25.0,50.4,50.8,32.3,34.3,68.6,-8.7,,
2021,DePaul,BE,19,5,98.9,94.3,0.6346,46.1,48.0,22.1,20.1,31.8,31.6,23.7,35.3,45.7,49.1,31.5,30.9,70.2,-5.8,,
2021,Saint Joseph's,A10,20,5,101.0,104.0,0.4172,48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,50.1,54.1,31.4,35.1,72.5,-7.7,,
2021,Western Michigan,MAC,20,5,95.6,102.9,0.2999,49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,49.0,51.5,33.2,32.0,66.4,-11.5,,
2021,San Jose St.,MWC,19,5,96.9,110.1,0.1874,44.7,52.6,17.8,14.5,20.0,35.1,30.0,27.6,42.9,55.3,31.6,32.2,72.3,-10.3,,
2021,Central Connecticut,NEC,21,5,92.8,110.3,0.1213,48.5,53.9,19.7,20.1,23.7,32.9,28.4,30.4,48.5,54.6,32.4,35.2,70.8,-13.5,,
2021,USC Upstate,BSth,22,5,94.6,109.4,0.1584,49.0,53.7,20.8,18.7,24.0,29.6,29.8,35.2,47.7,54.6,33.9,34.7,68.7,-14.7,,
2021,Middle Tennessee,CUSA,22,5,93.4,103.6,0.2323,45.3,53.0,21.6,19.8,24.7,26.1,24.8,28.8,43.1,55.6,32.5,32.0,69.5,-13.7,,
2021,Kennesaw St.,ASun,21,5,90.3,104.2,0.1614,45.8,52.2,20.6,17.1,24.1,25.2,30.6,32.7,46.7,54.4,29.4,31.8,69.3,-15.4,,
2021,Central Arkansas,Slnd,23,5,97.3,113.7,0.1421,49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,46.8,51.7,36.0,38.2,71.4,-13.3,,
2021,Texas A&M Corpus Chris,Slnd,21,5,90.2,108.5,0.1067,46.9,51.7,23.8,19.3,24.6,29.3,34.8,31.2,45.1,51.7,33.3,34.4,69.5,-15.9,,
2021,Air Force,MWC,25,5,96.1,109.1,0.1891,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33.0,36.6,63.1,-13.5,,
2021,Nebraska Omaha,Sum,25,5,93.1,107.0,0.1683,46.3,53.5,18.1,16.8,23.2,26.7,29.2,31.1,44.8,51.2,33.5,38.4,71.3,-14.7,,
2021,Washington,P12,26,5,101.4,102.5,0.4696,48.9,51.2,19.2,17.2,23.4,34.4,26.2,34.7,48.3,50.6,33.2,34.9,71.0,-10.4,,
2021,Tennessee Tech,OVC,27,5,95.8,109.5,0.1776,50.1,54.8,22.6,18.1,26.5,27.8,27.0,26.7,51.6,56.0,32.1,35.3,69.2,-16.8,,
2021,Alabama A&M,SWAC,15,6,85.4,104.7,0.0878,44.8,44.0,21.4,18.0,28.2,29.4,31.8,37.4,45.5,44.8,28.8,28.3,67.4,-8.2,,
2021,Cal St. Fullerton,BW,15,6,102.6,111.6,0.2758,51.2,54.9,17.6,18.6,24.9,29.1,35.6,27.8,48.1,52.5,38.0,39.7,71.7,-7.8,,
2021,Loyola MD,Pat,17,6,97.7,100.9,0.4088,51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,53.4,47.7,30.6,34.7,67.8,-8.7,,
2021,Long Beach St.,BW,18,6,97.4,104.0,0.3198,50.6,49.4,21.0,17.8,23.3,31.3,37.7,34.9,49.0,48.2,35.9,34.2,73.9,-9.3,,
2021,Eastern Michigan,MAC,15,6,98.6,108.5,0.2493,46.7,58.7,17.1,19.1,24.2,31.6,26.9,28.2,47.2,58.5,30.6,39.2,68.1,-8.3,,
2021,Samford,SC,17,6,96.4,103.4,0.3076,47.9,52.8,21.1,18.4,28.9,25.0,27.1,37.9,51.3,53.1,28.3,35.0,73.2,-9.8,,
2021,Alcorn St.,SWAC,19,6,91.1,109.5,0.1083,44.4,55.4,20.2,21.9,29.3,30.5,34.0,50.1,44.0,57.7,30.1,34.6,69.6,-9.5,,
2021,South Carolina,SEC,21,6,103.4,99.6,0.6075,46.7,53.2,19.8,22.0,32.2,31.3,27.9,39.0,47.2,52.0,30.5,36.8,74.5,-5.5,,
2021,Portland,WCC,18,6,97.6,112.2,0.1678,46.3,58.9,19.0,17.9,17.8,30.8,33.9,23.3,43.6,60.6,33.8,37.6,71.3,-9.4,,
2021,Wake Forest,ACC,21,6,102.0,100.7,0.5386,49.0,54.5,20.0,17.9,26.2,25.9,28.5,32.1,45.9,52.8,35.1,38.3,66.8,-7.1,,
2021,Northern Arizona,BSky,22,6,96.7,112.6,0.1468,48.0,58.2,17.9,18.4,23.8,27.9,30.4,33.2,45.8,60.4,35.0,37.0,64.2,-11.7,,
2021,New Mexico,MWC,20,6,93.3,102.7,0.2493,43.9,53.1,21.7,19.8,31.3,30.6,32.9,35.7,45.5,53.6,26.8,34.9,67.4,-11.2,,
2021,St. Francis PA,NEC,22,6,94.7,107.2,0.1941,47.9,51.5,20.2,18.6,28.8,28.6,33.7,29.4,48.6,54.3,30.9,31.3,68.9,-13.0,,
2021,Rider,MAAC,23,6,99.8,111.9,0.2112,48.3,53.3,18.3,17.2,26.2,26.7,29.0,36.0,46.2,53.6,35.3,35.3,67.9,-14.1,,
2021,Houston Baptist,Slnd,24,6,91.2,111.9,0.0872,48.7,54.1,22.6,18.6,25.7,31.2,28.1,28.2,47.9,55.7,33.3,34.3,72.7,-15.0,,
2021,Canisius,MAAC,13,7,98.5,106.8,0.2835,47.0,50.5,16.8,20.2,26.6,26.8,31.6,31.6,48.8,50.3,29.7,34.1,70.8,-4.8,,
2021,Delaware,CAA,14,7,98.0,100.8,0.4194,49.5,48.1,21.0,17.2,27.9,26.2,38.8,32.4,51.0,46.7,31.4,34.0,66.9,-6.6,,
2021,Albany,AE,16,7,98.6,103.2,0.3708,50.5,51.3,18.0,20.9,22.3,27.3,34.1,29.3,50.5,51.1,33.7,34.5,69.5,-7.4,,
2021,UC San Diego,BW,14,7,100.7,109.2,0.2837,55.0,54.5,19.6,18.4,16.7,31.7,20.8,22.4,54.6,53.3,37.0,38.0,69.2,-6.9,,
2021,UNC Wilmington,CAA,16,7,101.6,109.8,0.2909,48.6,51.6,16.1,18.9,26.5,31.5,37.1,31.7,47.2,53.9,34.0,30.9,69.9,-8.0,,
2021,William & Mary,CAA,17,7,94.8,105.7,0.2224,46.1,51.0,20.2,16.9,28.6,31.8,32.0,23.6,47.9,52.1,28.7,32.6,68.2,-7.0,,
2021,Boston University,Pat,18,7,101.4,107.9,0.3279,49.7,53.7,18.3,15.2,29.2,25.9,28.7,29.9,50.9,53.4,31.9,36.2,65.4,-7.8,,
2021,NJIT,AE,19,7,94.1,107.2,0.1823,45.9,52.3,16.2,20.9,24.1,29.2,34.2,29.4,46.0,53.8,30.5,33.2,68.0,-9.8,,
2021,Manhattan,MAAC,20,7,91.7,102.4,0.2181,42.6,47.9,20.7,22.3,31.9,29.5,35.5,46.8,44.4,47.1,26.4,33.0,67.1,-11.2,,
2021,Presbyterian,BSth,21,7,91.2,106.6,0.143,46.7,52.9,23.1,22.2,32.6,28.3,35.2,41.7,47.3,53.3,30.3,34.9,65.6,-13.1,,
2021,Western Illinois,Sum,21,7,97.0,109.0,0.2066,45.8,54.4,17.3,16.1,27.9,23.1,36.5,38.8,44.6,51.8,31.8,39.5,71.8,-11.6,,
2021,Central Michigan,MAC,20,7,99.1,110.5,0.2226,48.7,54.0,17.9,18.2,26.6,32.2,36.2,27.5,48.8,53.6,32.2,36.4,72.3,-12.4,,
2021,Illinois St.,MVC,24,7,97.8,103.1,0.3528,50.4,51.6,19.3,16.7,23.7,26.3,23.7,26.7,50.0,54.7,34.0,31.5,69.3,-12.1,,
2021,Louisiana Monroe,SB,26,7,93.6,104.3,0.223,48.2,50.4,19.1,21.2,22.7,31.9,25.1,34.0,46.5,47.9,34.0,36.5,67.3,-16.1,,
2021,Nebraska,B10,26,7,101.5,93.3,0.7241,48.2,49.8,19.7,18.1,23.1,28.9,31.0,28.4,47.1,52.1,33.2,31.3,72.1,-6.9,,
2021,Massachusetts,A10,15,8,105.4,97.8,0.7037,50.0,50.9,16.3,19.9,24.3,25.6,34.2,33.4,50.9,51.0,32.6,33.8,71.7,-3.5,,
2021,IUPUI,Horz,18,8,96.6,106.1,0.2535,49.0,52.7,19.1,18.9,25.2,25.2,30.5,35.1,47.3,56.5,34.4,30.5,72.0,-8.0,,
2021,Texas A&M,SEC,18,8,102.1,98.7,0.5943,47.7,53.1,22.4,22.7,32.8,30.1,33.7,29.6,49.5,55.0,30.0,34.1,65.0,-4.1,,
2021,East Carolina,Amer,18,8,98.4,98.8,0.4882,45.2,48.9,18.5,20.6,26.9,27.7,33.1,38.3,45.5,49.7,29.8,31.9,68.3,-6.2,,
2021,Southern,SWAC,19,8,91.3,104.2,0.1807,48.0,47.2,22.0,20.7,29.8,26.7,40.5,40.8,47.8,46.2,32.3,33.0,70.7,-8.5,,
2021,Sacramento St.,BSky,18,8,101.9,111.3,0.2647,50.6,55.6,14.9,18.8,24.5,28.0,31.5,32.0,48.0,56.0,37.7,36.6,65.0,-9.2,,
2021,Florida A&M,MEAC,20,8,89.1,101.5,0.1826,48.6,47.9,23.8,21.4,30.2,31.8,29.8,33.9,49.2,50.8,31.4,28.5,68.3,-8.8,,
2021,Dixie St.,WAC,19,8,91.6,106.0,0.157,45.5,52.0,20.9,19.7,24.7,32.6,35.4,36.5,45.9,53.9,29.7,32.5,72.9,-10.1,,
2021,Incarnate Word,Slnd,19,8,94.9,111.5,0.1348,50.3,52.1,20.6,18.5,23.0,32.2,32.5,33.8,45.8,55.1,38.2,30.7,64.9,-11.6,,
2021,North Florida,ASun,21,8,100.5,113.2,0.2041,52.7,50.3,21.5,16.2,25.8,35.9,25.4,31.8,51.2,50.1,36.2,33.9,67.2,-11.3,,
2021,Fort Wayne,Horz,23,8,100.3,110.5,0.2465,58.2,52.5,23.7,17.0,26.2,30.8,30.2,30.4,57.0,53.9,40.0,33.6,69.7,-12.7,,
2021,Tennessee Martin,OVC,23,8,93.2,112.5,0.1035,45.6,57.3,21.0,20.6,28.7,32.9,28.3,36.5,43.3,58.2,33.2,37.4,67.6,-12.7,,
2021,Southern Miss,CUSA,23,8,92.2,101.4,0.2513,47.3,50.3,20.6,18.7,23.8,23.2,28.7,29.5,47.3,50.1,31.5,33.7,67.4,-12.9,,
2021,Green Bay,Horz,25,8,102.2,109.2,0.3185,49.2,53.5,15.5,16.9,26.0,29.4,27.3,31.9,48.8,53.2,33.3,36.2,66.5,-12.6,,
2021,Southeastern Louisiana,Slnd,26,8,91.3,111.6,0.0904,45.4,55.3,21.8,22.0,30.8,29.8,41.0,37.9,46.5,56.3,29.2,35.9,69.1,-14.4,,
2021,Lafayette,Pat,15,9,103.5,110.9,0.3116,50.6,50.9,15.0,16.0,23.7,28.5,30.3,33.7,48.4,51.4,36.0,33.2,68.9,-4.8,,
2021,Duquesne,A10,18,9,102.1,96.3,0.6631,47.6,47.3,19.5,19.6,31.0,30.1,31.6,35.5,49.3,50.3,29.9,28.4,68.9,-4.1,,
2021,LIU Brooklyn,NEC,18,9,95.3,102.8,0.2959,47.3,49.9,19.3,20.9,32.9,28.5,31.2,28.4,50.1,50.9,28.7,32.0,73.5,-7.5,,
2021,Merrimack,NEC,18,9,92.8,101.3,0.2665,51.4,48.0,19.9,21.8,20.8,31.6,31.0,33.0,54.1,46.1,31.7,34.4,66.2,-7.6,,
2021,Sacred Heart,NEC,18,9,99.9,112.0,0.213,48.0,50.7,18.7,15.3,29.6,31.8,33.6,27.6,47.1,51.3,32.9,32.9,66.5,-7.0,,
2021,Pacific,WCC,17,9,102.5,98.0,0.6266,47.9,51.6,16.5,18.2,27.5,23.6,26.9,33.2,49.1,50.8,29.8,35.1,66.6,-3.1,,
2021,College of Charleston,CAA,17,9,102.4,107.9,0.3537,51.6,52.0,16.3,17.7,24.2,26.0,27.1,33.5,47.8,50.1,38.2,36.6,64.0,-7.4,,
2021,St. Francis NY,NEC,19,9,101.1,113.2,0.2145,49.5,52.7,16.3,19.9,30.2,30.3,30.7,39.1,49.4,50.4,33.1,38.1,72.5,-8.7,,
2021,UT Rio Grande Valley,WAC,15,9,90.4,101.5,0.2095,43.0,48.1,19.0,24.1,30.0,34.1,37.7,43.5,44.7,48.5,26.7,31.6,70.5,-7.8,,
2021,Niagara,MAAC,20,9,98.8,106.6,0.2936,46.6,49.5,15.2,20.1,23.3,28.4,34.6,32.5,46.4,48.5,31.3,33.9,65.0,-8.8,,
2021,South Florida,Amer,21,9,100.4,101.6,0.466,45.1,51.7,20.8,17.8,33.8,26.5,34.5,33.5,43.3,51.5,32.4,34.6,67.2,-6.0,,
2021,Portland St.,BSky,18,9,92.4,99.9,0.2885,44.4,50.8,20.0,22.7,30.5,23.6,34.6,46.7,44.8,49.1,29.2,36.1,69.3,-10.9,,
2021,Cal St. Northridge,BW,21,9,99.8,111.7,0.2146,48.4,54.3,16.7,18.7,24.3,28.9,31.7,32.4,47.2,54.2,33.5,36.4,70.5,-9.9,,
2021,Illinois Chicago,Horz,22,9,92.7,104.7,0.1993,49.7,48.0,18.9,14.2,23.7,27.6,22.8,33.8,50.2,49.1,32.7,30.1,68.6,-10.3,,
2021,Quinnipiac,MAAC,22,9,91.9,99.6,0.285,46.9,44.2,19.4,17.2,21.2,27.8,35.4,32.7,45.7,43.7,32.4,30.1,71.7,-11.2,,
2021,Coppin St.,MEAC,22,9,91.9,100.5,0.2623,48.6,47.9,20.0,20.4,18.5,32.5,43.8,27.0,51.6,49.1,30.3,30.8,77.1,-9.2,,
2021,Stony Brook,AE,22,9,94.3,100.7,0.3178,46.0,48.3,20.1,18.8,30.3,27.1,33.0,29.6,47.3,46.6,29.2,33.9,66.9,-11.2,,
2021,Northwestern,B10,23,9,103.8,94.1,0.7576,50.3,50.2,17.2,17.9,19.9,25.8,26.8,33.7,49.1,50.5,34.6,33.2,68.6,-2.9,,
2021,High Point,BSth,24,9,96.3,106.4,0.2417,45.8,52.4,18.6,20.1,32.0,28.2,38.3,34.1,46.7,51.7,29.0,35.4,66.4,-11.9,,
2021,Fairleigh Dickinson,NEC,24,9,101.6,110.9,0.2684,51.9,53.0,19.5,19.3,28.7,33.2,31.1,33.9,49.4,54.8,37.5,33.5,71.0,-12.0,,
2021,Kentucky,SEC,25,9,108.5,93.3,0.8504,47.1,46.7,19.8,17.9,32.6,30.5,34.5,29.7,45.5,46.6,33.7,31.2,68.3,-3.9,,
2021,La Salle,A10,24,9,101.9,105.3,0.4058,50.1,52.1,20.7,19.4,26.9,29.1,24.3,36.1,49.9,53.8,33.6,32.9,68.8,-8.7,,
2021,Charlotte,CUSA,24,9,95.9,103.7,0.2893,49.2,50.9,20.1,18.4,21.6,24.7,37.2,23.4,49.3,52.9,32.7,31.8,62.9,-11.6,,
2021,Evansville,MVC,25,9,105.1,110.0,0.3732,53.2,57.4,17.2,18.3,19.1,24.1,25.4,34.3,50.0,55.7,37.7,41.0,62.3,-10.4,,
2021,Vanderbilt,SEC,25,9,108.6,100.1,0.7185,51.2,52.1,19.8,19.8,28.1,28.5,32.9,33.7,50.2,52.9,34.9,33.8,68.5,-5.8,,
2021,FIU,CUSA,22,9,96.5,107.9,0.2165,50.5,53.9,20.9,21.5,25.8,33.6,24.0,34.7,51.9,53.2,32.7,36.9,70.6,-13.7,,
2021,SIU Edwardsville,OVC,25,9,93.0,107.5,0.1602,49.2,52.6,22.8,19.6,26.7,31.8,33.2,33.7,50.5,53.4,31.2,34.2,68.4,-13.0,,
2021,North Dakota,Sum,26,9,97.1,108.7,0.2146,49.4,53.2,18.7,16.9,23.5,26.6,34.6,30.4,48.7,51.1,33.7,38.4,67.5,-13.0,,
2021,Eastern Illinois,OVC,27,9,94.8,108.5,0.1754,49.3,51.9,20.0,18.7,28.8,29.6,25.7,31.0,49.7,50.3,32.4,36.3,69.1,-13.8,,
2021,Kansas St.,B12,28,9,97.8,97.1,0.521,47.2,53.0,22.3,19.7,29.9,27.9,27.9,32.2,48.7,52.0,30.0,36.3,65.8,-8.2,,
2021,California,P12,28,9,102.7,100.9,0.5498,49.4,53.0,19.3,17.6,24.3,25.1,34.0,34.0,49.5,51.1,32.9,37.9,65.1,-9.7,,
2021,Vermont,AE,15,10,105.3,102.6,0.5753,53.3,47.0,18.1,19.0,26.6,23.2,33.0,33.5,54.4,47.1,34.4,31.2,66.4,-3.8,,
2021,Florida Gulf Coast,ASun,16,10,92.1,104.1,0.1978,47.7,48.7,20.3,18.8,28.6,29.6,24.0,26.7,51.0,49.5,28.9,31.5,71.0,-6.6,,
2021,UC Davis,BW,17,10,96.5,102.6,0.3322,48.2,53.0,20.4,23.4,26.9,27.6,36.4,40.6,48.3,52.6,31.9,35.8,69.5,-5.9,,
2021,New Hampshire,AE,18,10,95.8,106.7,0.2246,45.3,49.5,16.3,17.9,27.3,22.0,32.8,39.2,44.0,48.6,31.8,34.1,66.4,-7.6,,
2021,Northeastern,CAA,19,10,98.1,98.1,0.4999,51.6,48.3,19.5,17.2,20.2,26.3,26.0,29.3,50.4,48.3,35.4,32.3,67.3,-4.4,,
2021,Elon,CAA,18,10,97.3,100.0,0.4223,48.3,49.6,17.5,17.9,24.6,22.7,23.2,39.5,47.3,50.4,33.1,32.4,66.2,-6.4,,
2021,UNC Asheville,BSth,20,10,99.6,107.2,0.2985,54.6,49.7,21.2,19.7,26.8,33.2,30.2,32.3,55.2,50.2,35.8,32.4,68.9,-7.5,,
2021,Tarleton St.,WAC,15,10,98.9,103.4,0.376,48.6,52.1,18.4,23.4,19.3,31.7,38.1,45.5,45.6,50.0,37.4,36.3,64.6,-7.6,,
2021,Pittsburgh,ACC,22,10,107.9,100.0,0.7062,48.8,50.0,18.3,17.5,34.5,26.0,36.9,33.3,47.8,51.1,33.9,32.3,68.7,-4.0,,
2021,Milwaukee,Horz,22,10,101.3,107.9,0.3248,49.5,52.6,15.3,18.6,24.3,26.8,33.2,35.0,49.7,49.9,32.9,37.9,69.6,-8.8,,
2021,Tulane,Amer,23,10,98.7,97.4,0.5353,44.2,49.7,16.6,22.1,22.9,30.6,36.6,30.0,44.0,46.7,29.8,35.8,67.3,-5.9,,
2021,Ball St.,MAC,23,10,102.7,101.1,0.5433,51.3,48.9,19.7,17.2,27.8,30.5,28.7,35.7,51.4,50.4,34.2,31.0,70.8,-7.5,,
2021,McNeese St.,Slnd,18,10,95.8,114.3,0.1166,53.1,54.7,23.0,17.7,27.0,28.1,30.7,30.7,51.7,52.5,37.2,39.0,68.4,-12.6,,
2021,Rhode Island,A10,25,10,103.4,98.1,0.6483,49.2,47.9,19.7,17.5,30.0,26.7,38.9,33.5,50.3,46.8,31.2,33.0,69.4,-6.8,,
2021,Butler,BE,25,10,102.3,97.9,0.6237,47.5,53.0,17.3,18.6,26.0,25.2,29.4,28.5,46.8,53.4,32.3,35.0,64.6,-3.6,,
2021,Northern Iowa,MVC,23,10,102.0,103.0,0.4725,50.0,52.9,19.1,16.8,26.4,21.9,26.5,27.7,51.1,54.2,32.2,34.1,69.2,-9.0,,
2021,New Orleans,Slnd,24,10,97.3,107.7,0.2379,52.3,51.4,22.3,21.2,29.3,32.0,33.1,38.4,52.8,52.6,33.9,32.5,72.5,-12.6,,
2021,Miami FL,ACC,27,10,102.0,99.0,0.5851,47.4,52.6,18.5,18.0,27.1,26.2,32.8,19.8,49.0,49.6,29.5,37.9,67.9,-6.5,,
2021,Fairfield,MAAC,27,10,95.9,106.5,0.2308,45.4,49.1,19.6,16.3,28.1,26.6,34.1,30.7,44.4,49.3,31.5,32.6,64.7,-14.2,,
2021,Valparaiso,MVC,26,10,96.0,99.4,0.4012,47.2,50.3,18.0,17.8,20.9,26.3,26.1,28.8,48.9,50.2,29.7,33.6,67.1,-11.6,,
2021,Lamar,Slnd,28,10,93.5,105.9,0.1943,46.0,52.3,20.1,20.0,26.4,28.7,30.8,27.4,45.7,49.1,31.2,38.7,68.1,-13.9,,
2021,SMU,Amer,16,11,107.9,95.2,0.8086,51.4,46.3,20.1,20.2,30.5,29.1,31.3,35.4,51.8,43.4,33.9,34.1,69.5,0.2,,
2021,Hawaii,BW,19,11,100.7,104.5,0.3959,50.6,50.1,19.8,16.7,29.1,25.6,30.3,27.7,48.6,49.8,35.7,33.8,66.7,-7.3,,
2021,North Carolina A&T,MEAC,19,11,92.7,105.0,0.1921,45.4,52.0,18.6,24.0,27.6,35.8,35.8,31.2,45.4,50.5,30.4,36.3,71.7,-7.0,,
2021,Northern Colorado,BSky,19,11,98.6,105.2,0.3229,51.3,49.2,20.4,15.9,24.6,24.3,32.3,34.8,47.4,49.8,37.6,31.3,68.1,-8.1,,
2021,Utah Valley,WAC,20,11,100.8,104.1,0.4092,51.4,48.7,21.2,14.8,31.7,24.0,43.5,34.6,51.2,47.2,34.7,34.4,70.3,-7.0,,
2021,UMass Lowell,AE,23,11,98.7,106.1,0.302,51.2,48.4,21.0,16.3,27.0,26.6,37.2,39.5,50.8,48.9,34.6,31.6,69.5,-8.6,,
2021,UCF,Amer,23,11,105.9,98.5,0.6957,50.1,49.3,21.6,19.5,28.2,31.5,30.7,33.6,47.9,49.4,35.5,32.7,66.9,-3.1,,
2021,Tulsa,Amer,21,11,101.2,98.5,0.5769,49.0,48.5,20.0,21.7,26.5,32.1,33.1,35.1,51.6,46.6,30.0,34.1,65.9,-5.3,,
2021,Jacksonville,ASun,22,11,91.8,105.3,0.171,48.8,51.4,20.1,20.7,24.9,30.3,34.3,27.9,49.9,52.0,31.4,33.7,68.1,-10.4,,
2021,Arkansas St.,SB,21,11,100.0,105.9,0.3391,48.0,49.6,19.4,17.5,30.8,28.0,34.6,27.9,44.8,47.9,37.4,35.2,67.8,-10.2,,
2021,UMKC,Sum,20,11,95.6,100.9,0.3493,51.2,52.3,19.6,22.5,21.6,24.6,30.5,55.3,50.4,50.9,35.1,36.5,62.7,-9.4,,
2021,Penn St.,B10,25,11,111.2,95.8,0.8484,47.9,53.0,16.3,19.7,31.9,24.8,27.8,33.5,45.8,53.9,33.8,34.5,69.1,-0.5,,
2021,Stetson,ASun,22,11,101.6,108.1,0.3278,51.2,53.6,19.7,17.9,27.8,26.4,27.8,30.8,48.0,53.8,36.9,35.4,68.2,-10.9,,
2021,Hampton,BSth,25,11,96.1,109.9,0.1762,49.5,49.2,18.2,17.9,22.2,31.9,28.6,35.4,49.3,48.3,33.2,33.8,70.6,-12.1,,
2021,Arizona St.,P12,25,11,106.6,99.7,0.6838,49.2,52.5,15.0,20.7,21.4,30.1,33.3,36.1,48.8,51.5,33.3,36.2,72.9,-4.6,,
2021,San Francisco,WCC,25,11,105.1,98.3,0.6838,51.3,49.8,16.9,19.9,24.8,24.7,21.4,39.9,51.5,50.1,34.0,32.6,68.5,-6.1,,
2021,Notre Dame,ACC,26,11,113.4,102.6,0.7592,53.9,50.8,15.7,12.7,22.0,29.7,25.9,19.7,52.9,48.5,36.8,36.6,67.3,-3.6,,
2021,Gardner Webb,BSth,26,11,104.6,105.5,0.4755,52.4,48.6,17.5,18.2,26.6,28.1,30.0,36.5,51.0,46.9,36.1,34.1,66.6,-11.0,,
2021,Little Rock,SB,25,11,96.4,105.3,0.2675,50.4,50.7,22.4,20.1,31.1,28.0,37.7,27.8,52.2,49.7,31.3,34.9,67.2,-11.9,,
2021,Southeast Missouri St.,OVC,27,11,94.9,104.9,0.2394,49.9,51.9,21.7,19.7,27.6,23.6,40.5,38.9,48.0,50.6,35.2,36.2,68.6,-12.9,,
